Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",4,4.26,Del Rey,Hardcover,382,2014,2014,2019/02/14,2018/12/22,,,read,,,,1,0
27276408,Invisible Influence: The Hidden Forces that Shape Behavior,Jonah Berger,"Berger, Jonah",,"=""1476759693""","=""9781476759692""",3,3.68,Simon  Schuster,Hardcover,272,2016,2016,2019/02/14,2019/02/09,,,read,,,,1,0
36452099,"State Tectonics (The Centenal Cycle, #3)",Malka Ann Older,"Older, Malka Ann",,"=""""","=""""",4,4.01,Tor.com,Paperback,432,2018,2018,2019/02/11,2019/01/29,,,read,,,,1,0
40940205,Tribe: On Homecoming and Belonging,Sebastian Junger,"Junger, Sebastian",,"=""""","=""""",2,4.02,Twelve,Kindle Edition,182,2016,2016,2019/02/09,2019/02/08,,,read,,,,1,0
223556,The Bell Curve: Intelligence and Class Structure in American Life,Richard J. Herrnstein,"Herrnstein, Richard J.",Charles Murray,"=""0684824299""","=""9780684824291""",0,3.57,Free Press,Paperback,912,1996,1994,,2019/02/08,to-read,to-read (#57),to-read,,,,0,0
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,"King, Stephen",,"=""0451210859""","=""9780451210852""",4,4.23,Signet,Paperback,463,2003,1987,2019/02/07,2019/02/01,,,read,,,,1,0
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",0,3.75,Random House,Hardcover,343,2017,2017,,2019/02/05,to-read,to-read (#56),to-read,,,,0,0
33533720,The Art of Stopping Time: Practical Mindfulness for Busy People,Pedram Shojai,"Shojai, Pedram",,"=""1623369096""","=""9781623369095""",0,3.75,Rodale Books,Hardcover,224,2017,,,2019/02/05,to-read,to-read (#55),to-read,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.85,Tor Books,Paperback,1006,2006,2004,,2019/02/05,to-read,to-read (#54),to-read,,,,0,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",0,3.55,Alfred A. Knopf,Hardcover,317,2015,2015,,2019/02/05,to-read,to-read (#53),to-read,,,,0,0
36896898,Spinning Silver,Naomi Novik,"Novik, Naomi",,"=""""","=""""",0,4.21,Del Rey,Kindle Edition,465,2018,2018,,2019/02/05,to-read,to-read (#52),to-read,,,,0,0
34377087,Mrs. Caliban,Rachel Ingalls,"Ingalls, Rachel",Rivka Galchen,"=""0811226697""","=""9780811226691""",0,3.79,New Directions,Paperback,128,2017,1982,,2019/02/05,to-read,to-read (#51),to-read,,,,0,0
34837145,The Sky Is Yours,Chandler Klang Smith,"Smith, Chandler Klang",,"=""0451496264""","=""9780451496263""",0,3.31,Hogarth,Hardcover,464,2018,2018,,2019/02/05,to-read,to-read (#50),to-read,,,,0,0
